date,sku,demand,lead_time_days,unit_cost
2015-01-01,PCB-A100-CTRLBOARD,271,45,12.5
2015-01-02,PCB-A100-CTRLBOARD,252,45,12.5
2015-01-03,PCB-A100-CTRLBOARD,199,45,12.5
2015-01-04,PCB-A100-CTRLBOARD,225,45,12.5
2015-01-05,PCB-A100-CTRLBOARD,249,45,12.5
2015-01-06,PCB-A100-CTRLBOARD,249,45,12.5
2015-01-07,PCB-A100-CTRLBOARD,303,45,12.5
2015-01-08,PCB-A100-CTRLBOARD,279,45,12.5
2015-01-09,PCB-A100-CTRLBOARD,242,45,12.5
2015-01-10,PCB-A100-CTRLBOARD,195,45,12.5
2015-01-11,PCB-A100-CTRLBOARD,165,45,12.5
2015-01-12,PCB-A100-CTRLBOARD,242,45,12.5
2015-01-13,PCB-A100-CTRLBOARD,263,45,12.5
2015-01-14,PCB-A100-CTRLBOARD,198,45,12.5
2015-01-15,PCB-A100-CTRLBOARD,204,45,12.5
2015-01-16,PCB-A100-CTRLBOARD,239,45,12.5
2015-01-17,PCB-A100-CTRLBOARD,149,45,12.5
2015-01-18,PCB-A100-CTRLBOARD,188,45,12.5
2015-01-19,PCB-A100-CTRLBOARD,228,45,12.5
2015-01-20,PCB-A100-CTRLBOARD,213,45,12.5
2015-01-21,PCB-A100-CTRLBOARD,299,45,12.5
2015-01-22,PCB-A100-CTRLBOARD,249,45,12.5
2015-01-23,PCB-A100-CTRLBOARD,257,45,12.5
2015-01-24,PCB-A100-CTRLBOARD,136,45,12.5
2015-01-25,PCB-A100-CTRLBOARD,162,45,12.5
2015-01-26,PCB-A100-CTRLBOARD,259,45,12.5
2015-01-27,PCB-A100-CTRLBOARD,221,45,12.5
2015-01-28,PCB-A100-CTRLBOARD,267,45,12.5
2015-01-29,PCB-A100-CTRLBOARD,237,45,12.5
2015-01-30,PCB-A100-CTRLBOARD,246,45,12.5
2015-01-31,PCB-A100-CTRLBOARD,161,45,12.5
2015-02-01,PCB-A100-CTRLBOARD,234,45,12.5
2015-02-02,PCB-A100-CTRLBOARD,255,45,12.5
2015-02-03,PCB-A100-CTRLBOARD,223,45,12.5
2015-02-04,PCB-A100-CTRLBOARD,279,45,12.5
2015-02-05,PCB-A100-CTRLBOARD,218,45,12.5
2015-02-06,PCB-A100-CTRLBOARD,261,45,12.5
2015-02-07,PCB-A100-CTRLBOARD,119,45,12.5
2015-02-08,PCB-A100-CTRLBOARD,138,45,12.5
2015-02-09,PCB-A100-CTRLBOARD,260,45,12.5
2015-02-10,PCB-A100-CTRLBOARD,276,45,12.5
2015-02-11,PCB-A100-CTRLBOARD,259,45,12.5
2015-02-12,PCB-A100-CTRLBOARD,250,45,12.5
2015-02-13,PCB-A100-CTRLBOARD,245,45,12.5
